Participant_id,Pair_id,Condition,The brainstorming method helped me generate a diverse range of ideas.,I felt that the ideas generated were innovative and original.,I felt highly motivated to contribute ideas throughout the brainstorming session.,How engaged did you feel during the brainstorming session?,The brainstorming method helped organize my thoughts effectively.,How efficient was the brainstorming tool in helping you generate ideas within the allocated time?,Mental demand,Physical demand,Temporal demand,Performance,Effort,Frustration,tlx,"Overall, how satisfied are you with AIMR brainstorming method?",Which brainstorming method did you prefer overall?,Which brainstorming method make you feel more engaged and motivated during the brainstorming sessions?,Which brainstorming method make you feel more efficient?,Which brainstorming method made you feel more creative?,"This AIMR system is developed as a prototype. If this system were fully developed (e.g., improved user interface, idea management, enhanced features with AI refinement), I think that I would like to use this system frequently",To what extent did the AI-generated ideas enhance the overall effectiveness of the brainstorming session?,"Compared to manual brainstorming techniques, how valuable was the AI’s role in capturing and refining ideas?","If you would like, please elaborate on your opinion or on your answers to the above question(s)","General Opinions
I believe immersive technology can enhance brainstorming sessions.","After using the MR system, I am comfortable using immersive technology for work or creative purposes.",I believe that AI technology could enhance brainstorming conversations.,"Final thoughts
How could the MR system be improved for future brainstorming sessions?","What challenges, if any, did you encounter when using the MR system?",To what extent did the Mixed Reality visualization and interactions enhance the overall effectiveness of your brainstorming session?,Please rate the following features in the AIMR system: [Automatic generation of ideas],Please rate the following features in the AIMR system: [Clustering / collecting of ideas],Please rate the following features in the AIMR system: [Connecting of ideas],"Please rate the following features in the AIMR system: [Deleting (""burning"") a single idea]",Please rate the following features in the AIMR system: [Ability to skip all current ideas],Please rate the following features in the AIMR system: [Option to save the idea graph],Please rate the following features in the AIMR system: [Physics-based interaction between the idea nodes],What about the AIMR system did you enjoy? or not enjoy?,Column 41,efficiency_numeric
1,1,AIMR,7,7,7,7,7,7,15,1,5,15,13,8,9.5,7,Both,Sticky notes,Sticky notes,Both,7,5,4,"I think AI could really be used to summarize a really lengthy discussion, and to be able to concisely verbalize large-concept ideas.",6,7,7,Be able to see the other person's nodes and connect with them!,"When I had to decide which folder to put the idea nodes in, I felt like I was not following any standardized rule - I was just placing them instinctively, I would want to be able to rearrange them more after the discussion.",5,Satisfied,Unsatisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA
2,1,AIMR,6,7,6,7,5,6,11,2,7,8,14,11,8.833333333333334,6,The AIMR System,The AIMR System,Sticky notes,The AIMR System,7,6,7,I really felt like I was able to focus on ideas more with the AIMR; because I wasn't concerned about recording info like I was with the sticky notes,7,6,6,I think maybe a mini description about how to use each button would be best,"Sometimes it was hard to link notes, but putting notes into the folder directly was very simple.",6,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Very Satisfied,NA,NA,NA
3,2,Sticky notes,6,7,6,6,6,6,13,1,16,3,13,3,8.166666666666666,4,Sticky notes,Sticky notes,Sticky notes,Sticky notes,4,3,4,NA,3,6,5,n/a,NA,4,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,NA,NA,NA
4,2,Sticky notes,4,5,5,5,6,5,12,1,6,15,13,8,9.166666666666666,5,Sticky notes,Both,Sticky notes,The AIMR System,5,5,3,NA,5,5,4,having user instructions at the begining of the session embeded within the MR system would help,NA,3,Neutral,Unsatisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,NA,NA,NA
5,3,Sticky notes,5,4,5,5,1,2,3,7,13,14,10,14,10.166666666666666,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,5,6,5,"I feel it's a bit hard to divide the nodes through put them in different folder, but it actually help with organize my idea",5,6,6,"it's a great idea! But to some extent, it sometimes let me feel disruptive when I enter into a new point but my last sentences node just appear",i think it has a learning curve at first,2,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Unsatisfied,NA,NA,NA
6,3,Sticky notes,6,6,6,4,4,4,15,13,7,17,9,5,11,5,Both,The AIMR System,Sticky notes,Neither,6,3,2,If the AI can filter the conversation and pick up meaningful points without having to manually delete them all the time it would be great. Maybe having a button to press to start recording could do it nicely.,6,6,7,"Having better UI and easier controls, controller support, better spatial anchor of spawn points",Having to delete meaningless word clusters constantly breaks the stream of thought,5,Unsatisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,NA,NA,NA
7,4,AIMR,5,7,5,6,5,4,13,4,5,13,11,3,8.166666666666666,5,Sticky notes,The AIMR System,Sticky notes,Sticky notes,3,5,5,"I feel like the use of MR is effective in use; however, my main concern is accessibility. Sticky notes is easy to do anywhere and can be bought cheap, while a VR set is money and needs space.",7,5,7,"The MR system can be improved by having more steady software, so less visual shakage.","It went black once, but it was quickly fixed.",5,Satisfied,Unsatisfied,Satisfied,Unsatisfied,Satisfied,Very Satisfied,Satisfied,NA,NA,NA
8,4,AIMR,6,6,6,7,7,5,11,3,7,11,16,7,9.166666666666666,6,The AIMR System,The AIMR System,The AIMR System,The AIMR System,7,7,5,"Instead of focusing on the next thing to write down so we could have ideas, they came and went as we talked. The AI was useful in allowing you to speak and collaborate.",6,6,6,Maybe less shake but it's good!,N/A,6,Unsatisfied,Very Satisfied,Satisfied,Unsatisfied,Neutral,Neutral,Unsatisfied,NA,NA,NA
9,5,AIMR,4,2,5,7,7,4,11,10,5,11,14,4,9.166666666666666,5,Both,Both,Sticky notes,Both,7,2,5,I feel like ai is more capable of capturing ideas than giving me related/divergent ideas,6,7,7,I think it is potential as it creates space to store the ideas and manage them. It is a little hard to accurately delete or classify the ideas and nodes. if using controller will be easier,"collision not accurate
network issue
ai generated ideas not innovative enough",5,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,Satisfied,NA,NA,NA
10,5,AIMR,6,7,7,7,7,7,11,11,1,3,4,1,5.166666666666667,7,The AIMR System,The AIMR System,Sticky notes,Both,7,7,7,"The ai tool can display what i said, which is effective.",7,7,7,The MR system can use more advanced AI tool to help the brainstorming.,Sometime there is overlay between bubbles and the panel.,2,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Unsatisfied,Unsatisfied,NA,NA,NA
